"company","category","size","title","level","city","url","updated"
"Claroty","Cybersecurity","l","Data Engineer","Analyst","תל אביב-יפו","https://www.comeet.com/jobs/Claroty/F2.004/data-engineer/48.66A?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-08"
"Claroty","Cybersecurity","l","Data Platform Engineer","Analyst","תל אביב-יפו","https://www.comeet.com/jobs/Claroty/F2.004/data-platform-engineer/C0.76B?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-08"
"Cellebrite","Cybersecurity","l","Financial Business Analyst, EMEA","Analyst","פתח תקווה","https://www.comeet.com/jobs/Cellebrite/C3.00F/financial-business-analyst-emea/09.267-FD.00B?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-08"
"WSC Sports Technologies","Digital Media","l","Data Engineer","Analyst","רמת גן","https://www.comeet.com/jobs/wsc-sports/93.007/data-engineer/F5.F5B?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-08"
"Guardio","Cybersecurity","m","Cyber Security Data Analyst","Analyst","תל אביב-יפו","https://www.comeet.com/jobs/guardio/57.000/cyber-security-data-analyst/C4.766?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-08"
"Tikal","Productivity","l","Senior Data Engineer","Analyst","תל אביב","https://www.comeet.com/jobs/tikalk/68.00C/senior-data-engineer/03.53C?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-08"
"ONE ZERO Digital Bank","Fintech","l","Head Of Data","Executive","תל אביב-יפו","https://www.comeet.com/jobs/onezerobank/36.00A/head-of-data/3F.F53?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-08"
"Upstream Security","Cybersecurity","m","Senior Data Engineer","Analyst","הרצליה","https://www.comeet.com/jobs/upstream/E4.003/senior-data-engineer/BA.D58?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-08"
"Fetcherr","AI/ML","m","BI Data Analyst","Analyst","נתניה","https://www.comeet.com/jobs/fetcherr/68.006/bi-data-analyst/44.567?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-08"
"Imagen","Digital Media","m","Data Analyst","Analyst","גבעתיים","https://www.comeet.com/jobs/imagen-ai/78.00F/data-analyst/E3.95B?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-08"
"Claroty","Cybersecurity","l","Network / Data Analyst","Analyst","תל אביב-יפו","https://www.comeet.com/jobs/Claroty/F2.004/network--data-analyst/6D.166?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-07"
"Personetics Technologies","AI/ML","l","Business Analyst - Inbound","Analyst","גבעתיים","https://www.comeet.com/jobs/personetics/83.00A/business-analyst---inbound/57.668?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-07"
"Global-e","Productivity","l","Duty Drawback Analyst","Analyst","פתח תקווה","https://www.comeet.com/jobs/global-e/62.002/duty-drawback-analyst/C6.165?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-07"
