"company","category","size","title","level","city","url","updated"
"Daisy","Fintech","m","Product Designer","Designer","תל אביב - יפו","https://www.comeet.com/jobs/daisy/67.002/product-designer/2A.A47?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2024-09-19"
"Lusha","AdTech","l","Marketing Designer","Designer","תל אביב - יפו","https://www.comeet.com/jobs/lusha/73.00B/marketing-designer/03.A42?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2024-09-19"
"Lusha","AdTech","l","Product Designer","Designer","תל אביב - יפו","https://www.comeet.com/jobs/lusha/73.00B/product-designer/B4.A45?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2024-09-19"
"SolarEdge Technologies","Sustainable Technology","l","Instructional Designer","Designer","הרצליה","https://www.comeet.com/jobs/SolarEdge/71.00A/instructional-designer/C8.A48?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2024-09-19"
"Moon Active","Gaming","l","Art Operations Specialist","Designer","תל אביב - יפו","https://www.comeet.com/jobs/moonactive/A2.00C/art-operations-specialist/6E.217?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2024-09-19"
"Moon Active","Gaming","l","Game Designer - Playable Ads","Designer","תל אביב - יפו","https://www.comeet.com/jobs/moonactive/A2.00C/game-designer---playable-ads/D5.34F?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2024-09-19"
"Claroty","Cybersecurity","l","UX/UI Product Designer","Designer","תל אביב - יפו","https://www.comeet.com/jobs/Claroty/F2.004/uxui-product-designer/4E.146?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2024-09-18"
"NextSilicon","Semiconductors","l","Senior Logic Design Engineer","Designer","גבעתיים","https://www.comeet.com/jobs/nextsilicon/18.007/senior-logic-design-engineer/A9.F28?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2024-09-18"
"NextSilicon","Semiconductors","l","Senior Physical Design Engineer","Designer","גבעתיים","https://www.comeet.com/jobs/nextsilicon/18.007/senior-physical-design-engineer/CD.F20?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2024-09-18"
"ThetaRay","Fintech","m","Collections Specialist- Part time","Designer","הוד השרון","https://www.comeet.com/jobs/thetaray/72.00F/collections-specialist--part-time/34.A4C?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2024-09-18"
"MASSIVit 3D Printing Technologies","Productivity","m","3D Printing Application Engineer -Israel office","Designer","לוד","https://www.comeet.com/jobs/massivit/39.007/3d-printing-application-engineer--israel-office/83.048?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2024-09-18"
"SolarEdge Technologies","Sustainable Technology","l","Power design engineer","Designer","הרצליה","https://www.comeet.com/jobs/SolarEdge/71.00A/power-design-engineer/C7.A49?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2024-09-18"
"FullPath","Automotive","l","Product Designer (UI\UX)","Designer","תל אביב - יפו","https://www.comeet.com/jobs/fullpath/54.002/product-designer-uiux/D5.846?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2024-09-18"
"Moon Active","Gaming","l","3D Motion Artist","Designer","תל אביב - יפו","https://www.comeet.com/jobs/moonactive/A2.00C/3d-motion-artist/DC.C17?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2024-09-18"
"Moon Active","Gaming","l","3D Technical Artist","Designer","תל אביב - יפו","https://www.comeet.com/jobs/moonactive/A2.00C/3d-technical-artist/70.943?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2024-09-18"
"Moon Active","Gaming","l","Animation Artist","Designer","תל אביב - יפו","https://www.comeet.com/jobs/moonactive/A2.00C/animation-artist/71.516?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2024-09-18"
"Viber","Digital Media","l","Senior UX Writer","Designer","בני ברק","https://www.comeet.com/jobs/viber/04.002/senior-ux-writer/79.84B?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2024-09-18"
"Moon Active","Gaming","l","Creative Copywriter","Designer","תל אביב - יפו","https://www.comeet.com/jobs/moonactive/A2.00C/creative-copywriter/3C.F10?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2024-09-18"
"Moon Active","Gaming","l","Creative Operations Producer","Designer","תל אביב - יפו","https://www.comeet.com/jobs/moonactive/A2.00C/creative-operations-producer/A0.A49?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2024-09-18"
"Moon Active","Gaming","l","Marketing Art Director","Executive","תל אביב - יפו","https://www.comeet.com/jobs/moonactive/A2.00C/marketing-art-director/7D.21D?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2024-09-18"
"Moon Active","Gaming","l","Senior Marketing Art Designer","Designer","תל אביב - יפו","https://www.comeet.com/jobs/moonactive/A2.00C/senior-marketing-art-designer/BD.048?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2024-09-18"
"Moon Active","Gaming","l","Technical Artist","Designer","תל אביב - יפו","https://www.comeet.com/jobs/moonactive/A2.00C/technical-artist/B0.811?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2024-09-18"
"Moon Active","Gaming","l","UI Artist","Designer","תל אביב - יפו","https://www.comeet.com/jobs/moonactive/A2.00C/ui-artist/2E.544?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2024-09-18"
"monday.com","Productivity","l","Creative Manager","Manager","תל אביב - יפו","https://il.linkedin.com/jobs/view/creative-manager-at-monday-com-4011436701?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2024-09-18"
"FullPath","Automotive","l","Product Designer","Designer","תל אביב - יפו","https://il.linkedin.com/jobs/view/product-designer-at-fullpath-4027199312?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2024-09-18"
