"company","category","size","title","level","city","url","updated"
"Trigo","Robotics & Automation","l","DevOps Software Engineer","Engineer","תל אביב-יפו","https://www.comeet.com/jobs/trigo/A6.005/devops-software-engineer/7F.D4D?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-12-01"
"Cellebrite","Cybersecurity","l","DevOps Engineer","Engineer","פתח תקווה","https://www.comeet.com/jobs/Cellebrite/C3.00F/devops-engineer/DC.065?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-12-01"
"Global-e","Productivity","l","Delivery Manager","Manager","פתח תקווה","https://www.comeet.com/jobs/global-e/62.002/delivery-manager/6F.F5E?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-12-01"
"Global-e","Productivity","l","NOC Engineer- Student Position","Student","פתח תקווה","https://www.comeet.com/jobs/global-e/62.002/noc-engineer--student-position/BC.84D?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-12-01"
"DriveNets","Productivity","l","Devops Engineer","Engineer","רעננה","https://www.comeet.com/jobs/drivenets/72.006/devops-engineer/BD.F52?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-12-01"
"ActiveFence","Cybersecurity","l","Senior DevOps Engineer","Engineer","בנימינה גבעת עדה","https://www.comeet.com/jobs/activefence/D5.005/senior-devops-engineer/D5.F5B?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-12-01"
"Tikal","Productivity","l","Senior DevOps Engineer","Engineer","תל אביב","https://www.comeet.com/jobs/tikalk/68.00C/senior-devops-engineer/68.63E?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-12-01"
"Checkmarx","Cybersecurity","l","DevOps Engineer","Engineer","Ramat Gan","https://www.comeet.com/jobs/checkmarx/C0.008/devops-engineer/24.066?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-12-01"
"KMS Lighthouse","Productivity","m","DevOps Manager","Manager","פתח תקווה","https://il.linkedin.com/jobs/view/devops-manager-at-kms-lighthouse-4325045215?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-12-01"
"Waterfall Security Solutions","Cybersecurity","m","Senior DevOps","Engineer","ראש העין","https://www.comeet.com/jobs/waterfall-security/C7.009/senior-devops/C0.C20?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-11-30"
"Agora","Fintech","m","Senior DevOps Engineer","Engineer","תל אביב-יפו","https://www.comeet.com/jobs/agora/08.007/senior-devops-engineer/88.E5A?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-11-30"
"Checkmarx","Cybersecurity","l","DevOps Team Leader","Manager","Ramat Gan","https://www.comeet.com/jobs/checkmarx/C0.008/devops-team-leader/93.859?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-11-30"
"365Scores","Digital Media","l","Senior DevOps Engineer","Engineer","תל אביב-יפו","https://www.comeet.com/jobs/365scores/B3.006/senior-devops-engineer/8B.C4E?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-11-30"
"Rapyd Financial Network","Fintech","l","Senior DevOps Engineer","Engineer","תל אביב-יפו","https://www.comeet.com/jobs/rapyd/73.00E/senior-devops-engineer/B0.754?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-11-30"
"Moon Active","Gaming","l","DevOps Engineer (Platform)","Engineer","תל אביב-יפו","https://www.comeet.com/jobs/moonactive/A2.00C/devops-engineer-platform/2C.115?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-11-30"
"Moon Active","Gaming","l","Infrastructure Engineer","Engineer","תל אביב-יפו","https://www.comeet.com/jobs/moonactive/A2.00C/infrastructure-engineer/F7.44C?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-11-30"
"QuantHealth","Health","s","Senior Infrastructure Engineer","Engineer","תל אביב-יפו","https://il.linkedin.com/jobs/view/senior-infrastructure-engineer-at-quanthealth-4325202235?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-11-30"
"Spear","Aerospace","s","DevOps Engineer (527610)","Engineer","תל אביב-יפו","https://il.linkedin.com/jobs/view/devops-engineer-527610-at-spearuav-4347839594?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-11-30"
"Helfy","Health","s","DevOps Engineer","Engineer","הרצליה","https://il.linkedin.com/jobs/view/devops-engineer-at-helfy-4298266993?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-11-30"
"Varonis Systems","Cybersecurity","l","Senior DevOps Architect (Azure)","Engineer","הרצליה","https://il.linkedin.com/jobs/view/senior-devops-architect-azure-at-varonis-4339899151?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-11-30"
"WSC Sports Technologies","Digital Media","l","Client Solution & Delivery Manager","Manager","רמת גן","https://www.comeet.com/jobs/wsc-sports/93.007/client-solution--delivery-manager/72.259?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-11-29"
