"company","category","size","title","level","city","url","updated"
"DriveNets","Productivity","l","Controller","Accountant","רעננה","https://www.comeet.com/jobs/drivenets/72.006/controller/89.E64?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-07-26"
"ActiveFence","Cybersecurity","l","FP&A Manager","Manager","בנימינה גבעת עדה","https://www.comeet.com/jobs/alice/D5.005/fpa-manager/DF.C68?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-07-26"
"Atera Networks","Productivity","l","Director of Finance","Executive","תל אביב-יפו","https://www.comeet.com/jobs/atera/63.00B/director-of-finance/68.E63?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-07-26"
"Atera Networks","Productivity","l","Senior FP&A Analyst","Accountant","תל אביב-יפו","https://www.comeet.com/jobs/atera/63.00B/senior-fpa-analyst/99.D69?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-07-26"
"FullPath","Automotive","l","Billing Operations Specialist","Accountant","תל אביב-יפו","https://www.comeet.com/jobs/fullpath/54.002/billing-operations-specialist/5B.D67?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-07-26"
"ONE ZERO Digital Bank","Fintech","l","Assistant Controller","Accountant","תל אביב-יפו","https://www.comeet.com/jobs/onezerobank/36.00A/assistant-controller/63.E6F?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-07-26"
"SuperPlay","Gaming","l","Game Economist","Accountant","תל אביב-יפו","https://www.comeet.com/jobs/superplay/28.003/game-economist/22.347?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-07-26"
"Global-e","Productivity","l","Assistant Controller","Accountant","פתח תקווה","https://www.comeet.com/jobs/global-e/62.002/assistant-controller/DA.566?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-07-26"
"Coralogix","Cloud Computing","l","Account Payable Bookeeper","Accountant","רמת גן","https://www.comeet.com/jobs/coralogix/06.004/account-payable-bookeeper/18.E6C?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-07-26"
"Cynet","Cybersecurity","l","FP&A Analyst","Accountant","תל אביב-יפו","https://www.comeet.com/jobs/cynet/33.00D/fpa-analyst/B4.D69?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-07-26"
"Chargeflow","Fintech","m","Billing and Collection Specialist","Accountant","מודיעין מכבים רעות","https://www.comeet.com/jobs/chargeflow/29.001/billing-and-collection-specialist/27.E6D?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-07-26"
"Claroty","Cybersecurity","l","Controller","Accountant","תל אביב-יפו","https://il.linkedin.com/jobs/view/controller-at-claroty-4442337720?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-07-26"
