"company","category","size","title","level","city","url","updated"
"Agora","Fintech","m","Talent Acquisition Partner","Recruiter","תל אביב","https://www.comeet.com/jobs/agora/08.007/talent-acquisition-partner/20.D44?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2024-12-27"
"Aqua Security","Cybersecurity","l","HR Business Partner (temporary position)","Recruiter","רמת גן","https://www.comeet.com/jobs/aquasec/91.001/hr-business-partner-temporary-position/65.B4C?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2024-12-27"
"Bookaway","E-commerce & Retail","m","HR Director","Executive","רמת גן","https://www.comeet.com/jobs/Bookaway/64.006/hr-director/F7.E4D?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2024-12-26"
"Ceragon Networks","Telecommunications","l","Global Talent Acquisition Manager","Manager","ראש העין","https://www.comeet.com/jobs/Ceragon/D3.003/global-talent-acquisition-manager/94.E49?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2024-12-26"
"Fetcherr","AI/ML","m","Talent Acquisition Specialist","Recruiter","נתניה","https://www.comeet.com/jobs/fetcherr/68.006/talent-acquisition-specialist/A1.533?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2024-12-26"
"Silverfort","Cybersecurity","l","Director of Global Talent Acquisition","Executive","תל אביב - יפו","https://www.comeet.com/jobs/silverfort/54.007/director-of-global-talent-acquisition/4A.E43?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2024-12-26"
"Riverside.fm","AI/ML","l","Talent Acquisition Partner","Recruiter","תל אביב - יפו","https://www.comeet.com/jobs/riverside-fm/66.009/talent-acquisition-partner/DC.E45?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2024-12-26"
"Aqua Security","Cybersecurity","l","Human Resources Business Partner","Recruiter","רמת גן","https://il.linkedin.com/jobs/view/human-resources-business-partner-at-aqua-security-4110158411?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2024-12-26"
"Check Point Software Technologies","Cybersecurity","l","Talent Acquisition Specialist","Recruiter","תל אביב - יפו","https://il.linkedin.com/jobs/view/talent-acquisition-specialist-at-check-point-software-4109614851?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2024-12-26"
"Cross River Technologies","Fintech","m","Senior HR Business Partner","Recruiter","תל אביב - יפו","https://www.comeet.com/jobs/crossriver/C7.00F/senior-hr-business-partner/0C.E4E?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2024-12-25"
