"company","category","size","title","level","city","url","updated"
"Rise","Productivity","m","Strategic Partnership Manager","Manager","רמת השרון","https://www.comeet.com/jobs/risecodes/A9.000/strategic-partnership-manager/55.A56?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-10-16"
"Cross River Technologies","Fintech","m","IT Compliance Associate","Lawyer","תל אביב-יפו","https://www.comeet.com/jobs/crossriver/C7.00F/it-compliance-associate/40.751?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-10-16"
"Plus500","Fintech","l","SOX Compliance Manager","Manager","חיפה","https://www.comeet.com/jobs/plus500/A1.00F/sox-compliance-manager/9E.851?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-10-16"
"Global-e","Productivity","l","Associate legal counsel - Employment Law","Lawyer","פתח תקווה","https://www.comeet.com/jobs/global-e/62.002/associate-legal-counsel---employment-law/06.D54?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-10-16"
"Global-e","Productivity","l","Corporate legal counsel","Lawyer","פתח תקווה","https://www.comeet.com/jobs/global-e/62.002/corporate-legal-counsel/55.E5A?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-10-16"
"Nayax","Fintech","l","Risk and Compliance Operations Manager","Manager","הרצליה","https://il.linkedin.com/jobs/view/risk-and-compliance-operations-manager-at-nayax-4315646933?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-10-16"
"Moon Active","Gaming","l","Legal Counsel","Lawyer","תל אביב-יפו","https://www.comeet.com/jobs/moonactive/A2.00C/legal-counsel/9A.61D?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-10-15"
"Cognyte","Cybersecurity","l","Legal Counsel","Lawyer","הרצליה","https://www.comeet.com/jobs/cognyte/F2.009/legal-counsel/9F.B50?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-10-15"
"Carbyne","Cybersecurity","m","Senior VoIP Developer","Lawyer","תל אביב-יפו","https://il.linkedin.com/jobs/view/senior-voip-developer-at-carbyne-4315136359?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-10-15"
"Google","Digital Media","xl","Senior SOC and IP Design Engineer, Google Cloud","Lawyer","תל אביב-יפו","https://il.linkedin.com/jobs/view/senior-soc-and-ip-design-engineer-google-cloud-at-google-4303806491?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-10-14"
"Plus500","Fintech","l","SOX Compliance Specialist","Lawyer","חיפה","https://www.comeet.com/jobs/plus500/A1.00F/sox-compliance-specialist/61.953?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-10-13"
"Nvidia","AI/ML","l","Senior Networking Chip Capacity Planner","Lawyer","יקנעם עילית","https://il.linkedin.com/jobs/view/senior-networking-chip-capacity-planner-at-nvidia-4303952532?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-10-13"
"ZotaPay","Fintech","m","Junior Risk Team Representative TLV","Lawyer","תל אביב-יפו","https://il.linkedin.com/jobs/view/junior-risk-team-representative-tlv-at-zota-4279574303?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-10-12"
"REE Automotive","Automotive","l","Commercial Counsel (Temporary – Maternity Leave Cover)","Lawyer","הרצליה","https://www.comeet.com/jobs/ree/D3.00B/commercial-counsel-temporary--maternity-leave-cover/CD.D5B?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-10-10"
"Papaya","Digital Media","l","Privacy & Compliance Counsel","Lawyer","תל אביב-יפו","https://il.linkedin.com/jobs/view/privacy-compliance-counsel-at-papaya-4302544431?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-10-10"
"Nayax","Fintech","l","Risk Coordinator- Temporary Position","Lawyer","הרצליה","https://il.linkedin.com/jobs/view/risk-coordinator-temporary-position-at-nayax-4302081155?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-10-09"
"Nvidia","AI/ML","l","Senior Chip Architect, Next Gen Networking","Lawyer","יקנעם עילית","https://il.linkedin.com/jobs/view/senior-chip-architect-next-gen-networking-at-nvidia-4279986946?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-10-09"
"Rapyd Financial Network","Fintech","l","Compliance Officer","Lawyer","תל אביב-יפו","https://www.comeet.com/jobs/rapyd/73.00E/compliance-officer/DE.853?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-10-08"
"Grain","Fintech","s","FX Trader – Proprietary Risk & Client Risk Optimization","Lawyer","תל אביב-יפו","https://il.linkedin.com/jobs/view/fx-trader-%E2%80%93-proprietary-risk-client-risk-optimization-at-grain-4311230858?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-10-08"
"Darrow","AI/ML","m","Legal Intelligence Quality Counsel","Lawyer","תל אביב-יפו","https://il.linkedin.com/jobs/view/legal-intelligence-quality-counsel-at-darrow-ai-4312038025?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-10-08"
"Cato Networks","Cybersecurity","l","Commercial Legal Counsel","Lawyer","בני ברק","https://il.linkedin.com/jobs/view/commercial-legal-counsel-at-cato-networks-4289612935?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-10-08"
