"company","category","size","title","level","city","url","updated"
"ONE ZERO Digital Bank","Fintech","l","רפרנט.ית תפעול ניירות ערך","Operations","תל אביב-יפו","https://www.comeet.com/jobs/onezerobank/36.00A/_---/7B.56D?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-24"
"Innoviz Technologies","Cybersecurity","l","G&A Buyer","Procurement","Rosh Haayin","https://www.comeet.com/jobs/innoviz/52.004/ga-buyer/E8.760?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-23"
"Innoviz Technologies","Cybersecurity","l","Logistics Manager","Supply Chain","Rosh Haayin","https://www.comeet.com/jobs/innoviz/52.004/logistics-manager/D7.664?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-23"
"SolarEdge Technologies","Sustainable Technology","l","Procurement Coordinator","Procurement","הרצליה","https://www.comeet.com/jobs/SolarEdge/71.00A/procurement-coordinator/37.065?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-23"
"SolarEdge Technologies","Sustainable Technology","l","מחסנאי/ת","Operations","הרצליה","https://www.comeet.com/jobs/SolarEdge/71.00A/None/A4.848?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-23"
"Elmo Motion Control","Robotics & Automation","l","Procurement Buyer","Procurement","פתח תקווה","https://il.linkedin.com/jobs/view/procurement-buyer-at-elmo-motion-control-4387000153?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-23"
"Elbit Systems","Aerospace","l","מנהל.ת תפעול מחסנים ולוגיסטיקה","Operations","חיפה","https://il.linkedin.com/jobs/view/%D7%9E%D7%A0%D7%94%D7%9C-%D7%AA-%D7%AA%D7%A4%D7%A2%D7%95%D7%9C-%D7%9E%D7%97%D7%A1%D7%A0%D7%99%D7%9D-%D7%95%D7%9C%D7%95%D7%92%D7%99%D7%A1%D7%98%D7%99%D7%A7%D7%94-at-elbit-systems-israel-4376635950?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-23"
"Elbit Systems","Aerospace","l","Strategic Procurement Contracts Manager","Procurement","חיפה","https://il.linkedin.com/jobs/view/strategic-procurement-contracts-manager-at-elbit-systems-israel-4376676581?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-23"
"Israel Aerospace Industries","Aerospace","l","ראש/ת מינהל טכנולוגיות ייצור חלל","Operations","לוד","https://il.linkedin.com/jobs/view/%D7%A8%D7%90%D7%A9-%D7%AA-%D7%9E%D7%99%D7%A0%D7%94%D7%9C-%D7%98%D7%9B%D7%A0%D7%95%D7%9C%D7%95%D7%92%D7%99%D7%95%D7%AA-%D7%99%D7%99%D7%A6%D7%95%D7%A8-%D7%97%D7%9C%D7%9C-at-iai-israel-aerospace-industries-4388982778?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-23"
"Elbit Systems","Aerospace","l","מחסנאי.ת","Operations","חיפה","https://il.linkedin.com/jobs/view/%D7%9E%D7%97%D7%A1%D7%A0%D7%90%D7%99-%D7%AA-at-elbit-systems-israel-4376650857?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-23"
"Israel Aerospace Industries","Aerospace","l","חשמלאי/ת מטוסים בבסיס חיל האויר בנבטים","Operations","באר שבע","https://il.linkedin.com/jobs/view/%D7%97%D7%A9%D7%9E%D7%9C%D7%90%D7%99-%D7%AA-%D7%9E%D7%98%D7%95%D7%A1%D7%99%D7%9D-%D7%91%D7%91%D7%A1%D7%99%D7%A1-%D7%97%D7%99%D7%9C-%D7%94%D7%90%D7%95%D7%99%D7%A8-%D7%91%D7%A0%D7%91%D7%98%D7%99%D7%9D-at-iai-israel-aerospace-industries-4388997300?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-23"
"Elbit Systems","Aerospace","l","איש.אשת הנדסת ייצור מבדקים (ATE)","Operations","חיפה","https://il.linkedin.com/jobs/view/%D7%90%D7%99%D7%A9-%D7%90%D7%A9%D7%AA-%D7%94%D7%A0%D7%93%D7%A1%D7%AA-%D7%99%D7%99%D7%A6%D7%95%D7%A8-%D7%9E%D7%91%D7%93%D7%A7%D7%99%D7%9D-ate-at-elbit-systems-israel-4387096696?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-23"
"Elbit Systems","Aerospace","l","הנדסאי.ת ייצור","Operations","חיפה","https://il.linkedin.com/jobs/view/%D7%94%D7%A0%D7%93%D7%A1%D7%90%D7%99-%D7%AA-%D7%99%D7%99%D7%A6%D7%95%D7%A8-at-elbit-systems-israel-4376648851?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-23"
"Israel Aerospace Industries","Aerospace","l","עיתוד מלאי ובקרת MRP [76045743]","Operations","לוד","https://il.linkedin.com/jobs/view/%D7%A2%D7%99%D7%AA%D7%95%D7%93-%D7%9E%D7%9C%D7%90%D7%99-%D7%95%D7%91%D7%A7%D7%A8%D7%AA-mrp-76045743-at-iai-israel-aerospace-industries-4388691770?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-23"
"Elbit Systems","Aerospace","l","חשמלאי.ת מתח גבוה","Operations","חיפה","https://il.linkedin.com/jobs/view/%D7%97%D7%A9%D7%9E%D7%9C%D7%90%D7%99-%D7%AA-%D7%9E%D7%AA%D7%97-%D7%92%D7%91%D7%95%D7%94-at-elbit-systems-israel-4376643851?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-23"
"Elbit Systems","Aerospace","l","מוביל.ה איכות","Operations","חיפה","https://il.linkedin.com/jobs/view/%D7%9E%D7%95%D7%91%D7%99%D7%9C-%D7%94-%D7%90%D7%99%D7%9B%D7%95%D7%AA-at-elbit-systems-israel-4376646829?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-23"
"Kaltura","Digital Media","l","Procurement Specialist","Procurement","בני ברק","https://www.comeet.com/jobs/kaltura/E2.00D/procurement-specialist/39.76E?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-22"
"SolarEdge Technologies","Sustainable Technology","l","רפרנט תפעול הסעות","Operations","הרצליה","https://www.comeet.com/jobs/SolarEdge/71.00A/--/5E.668?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-22"
"Wearable Devices","Aerospace","s","קניין/ית רכש ומתאם/ת לוגיסטיקה","Procurement","יוקנעם עילית","https://il.linkedin.com/jobs/view/%D7%A7%D7%A0%D7%99%D7%99%D7%9F-%D7%99%D7%AA-%D7%A8%D7%9B%D7%A9-%D7%95%D7%9E%D7%AA%D7%90%D7%9D-%D7%AA-%D7%9C%D7%95%D7%92%D7%99%D7%A1%D7%98%D7%99%D7%A7%D7%94-at-wearable-devices-ltd-4386614813?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-22"
"Madsec","Cybersecurity","s","אנליסט/ית שרשרת אספקה - חטיבת IT","Supply Chain","חיפה","https://il.linkedin.com/jobs/view/%D7%90%D7%A0%D7%9C%D7%99%D7%A1%D7%98-%D7%99%D7%AA-%D7%A9%D7%A8%D7%A9%D7%A8%D7%AA-%D7%90%D7%A1%D7%A4%D7%A7%D7%94-%D7%97%D7%98%D7%99%D7%91%D7%AA-it-at-madsec-4386606735?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-22"
"Rafael Advanced Defense Systems","Aerospace","l","מנהל.ת התקשרויות ורכש אסטרטגי לפרויקטים","Procurement","חיפה","https://il.linkedin.com/jobs/view/%D7%9E%D7%A0%D7%94%D7%9C-%D7%AA-%D7%94%D7%AA%D7%A7%D7%A9%D7%A8%D7%95%D7%99%D7%95%D7%AA-%D7%95%D7%A8%D7%9B%D7%A9-%D7%90%D7%A1%D7%98%D7%A8%D7%98%D7%92%D7%99-%D7%9C%D7%A4%D7%A8%D7%95%D7%99%D7%A7%D7%98%D7%99%D7%9D-at-rafael-advanced-defense-systems-4368165535?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-22"
"Stratasys","Robotics & Automation","l","Category Manager -Global Indirect Procurement","Procurement","רחובות","https://il.linkedin.com/jobs/view/category-manager-global-indirect-procurement-at-stratasys-4368726678?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-22"
"Rafael Advanced Defense Systems","Aerospace","l","מנהל.ת תכנון ובקרה ברכש המנהלי","Procurement","חיפה","https://il.linkedin.com/jobs/view/%D7%9E%D7%A0%D7%94%D7%9C-%D7%AA-%D7%AA%D7%9B%D7%A0%D7%95%D7%9F-%D7%95%D7%91%D7%A7%D7%A8%D7%94-%D7%91%D7%A8%D7%9B%D7%A9-%D7%94%D7%9E%D7%A0%D7%94%D7%9C%D7%99-at-rafael-advanced-defense-systems-4388789304?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-22"
"Rafael Advanced Defense Systems","Aerospace","l","הנדסאי.ת לייצור","Operations","חיפה","https://il.linkedin.com/jobs/view/%D7%94%D7%A0%D7%93%D7%A1%D7%90%D7%99-%D7%AA-%D7%9C%D7%99%D7%99%D7%A6%D7%95%D7%A8-at-rafael-advanced-defense-systems-4388784641?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-22"
"Israel Aerospace Industries","Aerospace","l","מנהל/ת לוגיסטי/ת","Operations","לוד","https://il.linkedin.com/jobs/view/%D7%9E%D7%A0%D7%94%D7%9C-%D7%AA-%D7%9C%D7%95%D7%92%D7%99%D7%A1%D7%98%D7%99-%D7%AA-at-iai-israel-aerospace-industries-4317163929?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-03-21"
