"company","category","size","title","level","city","url","updated"
"Waterfall Security Solutions","Cybersecurity","m","Automation Quality Assurance Engineer","Engineer","ראש העין","https://www.comeet.com/jobs/waterfall-security/C7.009/automation-quality-assurance-engineer/63.D46?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2024-12-27"
"WSC Sports Technologies","Digital Media","l","QA Engineer","Engineer","רמת גן","https://www.comeet.com/jobs/wsc-sports/93.007/qa-engineer/57.946?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2024-12-27"
"Moon Active","Gaming","l","Automation Engineer (Java)","Engineer","תל אביב - יפו","https://www.comeet.com/jobs/moonactive/A2.00C/automation-engineer-java/85.F20?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2024-12-27"
"Moon Active","Gaming","l","QA Engineer (Operations)","Engineer","תל אביב - יפו","https://www.comeet.com/jobs/moonactive/A2.00C/qa-engineer-operations/BD.42C?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2024-12-27"
"SolarEdge Technologies","Sustainable Technology","l","Automation Engineer","Engineer","הרצליה","https://www.comeet.com/jobs/SolarEdge/71.00A/automation-engineer/DE.842?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2024-12-27"
"CommBox","Telecommunications","m","Quality Assurance Automation Engineer","Engineer","גליל ים","https://il.linkedin.com/jobs/view/quality-assurance-automation-engineer-at-commbox-4110877979?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2024-12-27"
"Orpak Systems","E-commerce & Retail","l","QA Engineer","Engineer","יקום","https://www.comeet.com/jobs/Orpak/65.001/qa-engineer/54.F41?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2024-12-26"
"ThetaRay","Fintech","m","Junior QA Automation","Engineer","הוד השרון","https://www.comeet.com/jobs/thetaray/72.00F/junior-qa-automation/B4.F45?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2024-12-26"
"Rise","Productivity","m","QA Automation Engineer","Engineer","רמת השרון","https://www.comeet.com/jobs/risecodes/A9.000/qa-automation-engineer/00.F4F?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2024-12-26"
"Rise","Productivity","m","QA Automation Team Lead","Manager","רמת השרון","https://www.comeet.com/jobs/risecodes/A9.000/qa-automation-team-lead/AD.E4A?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2024-12-26"
"Cyberbit","Cybersecurity","l","QA Engineer","Engineer","רעננה","https://www.comeet.com/jobs/Cyberbit/C3.00E/qa-engineer/F9.D49?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2024-12-26"
"Aqua Security","Cybersecurity","l","Senior QA and Automation Engineer","Engineer","רמת גן","https://www.comeet.com/jobs/aquasec/91.001/senior-qa-and-automation-engineer/89.C42?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2024-12-26"
"Guesty","E-commerce & Retail","l","IT & Automation Engineer","Engineer","תל אביב - יפו","https://www.comeet.com/jobs/guesty/10.000/it--automation-engineer/75.D4E?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2024-12-26"
"Vectorious Medical Technologies","Health","m","QC Operations","Engineer","תל אביב - יפו","https://www.comeet.com/jobs/vectoriousmedtech/68.003/qc-operations/D2.A42?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2024-12-26"
"LiveU","Telecommunications","l","Operations Quality Assurance Manager","Manager","כפר סבא","https://www.comeet.com/jobs/liveu/90.00C/operations-quality-assurance-manager/3D.D40?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2024-12-26"
"ACS Motion Control","Robotics & Automation","m","QA and OPEX Manager","Manager","יקנעם עילית","https://www.comeet.com/jobs/ACS/14.000/qa-and-opex-manager/34.F4C?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2024-12-26"
"Overwolf","Digital Media","m","Manual QA Engineer","Engineer","רמת גן","https://il.linkedin.com/jobs/view/manual-qa-engineer-at-overwolf-4102795444?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2024-12-26"
"Nexite","E-commerce & Retail","m","QA Manager","Manager","תל אביב - יפו","https://il.linkedin.com/jobs/view/qa-manager-at-nexite-4110259389?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2024-12-26"
"Nexite","E-commerce & Retail","m","Quality Assurance Manager","Manager","תל אביב - יפו","https://il.linkedin.com/jobs/view/quality-assurance-manager-at-nexite-4110248519?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2024-12-26"
"Cato Networks","Cybersecurity","l","Automation QA Delivery Lead","Manager","תל אביב - יפו","https://il.linkedin.com/jobs/view/automation-qa-delivery-lead-at-cato-networks-4051019045?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2024-12-26"
"Akamai Technologies","Cloud Computing","l","Senior Automation Development Team Leader - Israel - Remote -","Manager","תל אביב - יפו","https://il.linkedin.com/jobs/view/senior-automation-development-team-leader-israel-remote-at-akamai-technologies-4110240904?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2024-12-26"
"Forcepoint","Cybersecurity","xl","Senior Automation Engineer","Engineer","תל אביב - יפו","https://il.linkedin.com/jobs/view/senior-automation-engineer-at-forcepoint-4073552781?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2024-12-26"
