"company","category","size","title","level","city","url","updated"
"DealHub","Productivity","l","Account Executive","Representative","חולון","https://www.comeet.com/jobs/dealhub/86.005/account-executive/A3.753?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-06-15"
"DealHub","Productivity","l","Business Development Representative","Representative","חולון","https://www.comeet.com/jobs/dealhub/86.005/business-development-representative/06.65B?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-06-15"
"DealHub","Productivity","l","Senior Partner Sales Manager","Manager","חולון","https://www.comeet.com/jobs/dealhub/86.005/senior-partner-sales-manager/5C.75E?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-06-15"
"WSC Sports Technologies","Digital Media","l","Business Applications Implementer","Representative","רמת גן","https://www.comeet.com/jobs/wsc-sports/93.007/business-applications-implementer/63.754?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-06-15"
"Coralogix","Cloud Computing","l","Global Head of Technical Account Management (TAM)","Executive","רמת גן","https://www.comeet.com/jobs/coralogix/06.004/global-head-of-technical-account-management-tam/3B.75B-20.20A?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-06-15"
"Coralogix","Cloud Computing","l","Team Lead, Technical Account Managers","Representative","רמת גן","https://www.comeet.com/jobs/coralogix/06.004/team-lead-technical-account-managers/4B.75E?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-06-15"
"Claroty","Cybersecurity","l","Business Applications Engineer","Representative","תל אביב-יפו","https://www.comeet.com/jobs/Claroty/F2.004/business-applications-engineer/8B.454?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-06-15"
"Claroty","Cybersecurity","l","Business Applications Implementor","Representative","תל אביב-יפו","https://www.comeet.com/jobs/Claroty/F2.004/business-applications-implementor/B4.65D?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-06-15"
"Rapyd Financial Network","Fintech","l","Sales Engineer","Representative","תל אביב-יפו","https://www.comeet.com/jobs/rapyd/73.00E/sales-engineer/6D.C4E?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-06-15"
"Gauzy","Sustainable Technology","l","Sales Assistant","Representative","תל אביב-יפו","https://www.comeet.com/jobs/gauzy/C5.003/sales-assistant/0E.65F?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-06-15"
"Novidea Software","Fintech","l","Salesforce Implementer","Representative","נתניה","https://www.comeet.com/jobs/novidea/E5.00A/salesforce-implementer/59.E4F?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-06-15"
"LSports","Digital Media","m","Head of Sales – EMEA","Executive","אשקלון","https://www.comeet.com/jobs/lsports/26.002/head-of-sales--emea/6C.756?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-06-15"
"Imagen","Digital Media","m","Sales Development Representative","Representative","גבעתיים","https://www.comeet.com/jobs/imagen-ai/78.00F/sales-development-representative/7C.75D?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-06-15"
"Cognyte","Cybersecurity","l","Military Sales Manager","Manager","הרצליה","https://www.comeet.com/jobs/cognyte/F2.009/military-sales-manager/11.356?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-06-15"
"Cognyte","Cybersecurity","l","Senior FP&A Business Partner","Representative","הרצליה","https://www.comeet.com/jobs/cognyte/F2.009/senior-fpa-business-partner/B7.455?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-06-15"
"SolarEdge Technologies","Sustainable Technology","l","Sales Operations Account Manager","Representative","הרצליה","https://www.comeet.com/jobs/SolarEdge/71.00A/sales-operations-account-manager/36.755?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-06-15"
"Lumenis","Health","l","Business Development Manager","Manager","יוקנעם עילית","https://www.comeet.com/jobs/lumenis/A1.00C/business-development-manager/A0.85B?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-06-15"
"Reflectiz","Cybersecurity","s","Sales Engineer","Representative","רמת גן","https://il.linkedin.com/jobs/view/sales-engineer-at-reflectiz-4248894376?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-06-15"
"Natural Intelligence","AdTech","l","Business Development Manager","Manager","תל אביב-יפו","https://il.linkedin.com/jobs/view/business-development-manager-at-natural-intelligence-4055486150?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-06-15"
"monday.com","Productivity","l","Enterprise Account Executive","Representative","תל אביב-יפו","https://il.linkedin.com/jobs/view/enterprise-account-executive-at-monday-com-4208251854?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-06-15"
"Pixellot","Digital Media","m","Presales Engineer","Representative","פתח תקווה","https://il.linkedin.com/jobs/view/presales-engineer-at-pixellot-ai-automated-sports-video-and-analytics-4251290780?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-06-15"
"nT-Tao","Sustainable Technology","s","RF & Microwave Physicist / Microwave Systems Engineer","Executive","הוד השרון","https://il.linkedin.com/jobs/view/rf-microwave-physicist-microwave-systems-engineer-at-nt-tao-compact-fusion-power-4248898865?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-06-15"
"Check Point Software Technologies","Cybersecurity","l","Renewals Territory Account Manager- Russian Speaker","Representative","תל אביב-יפו","https://il.linkedin.com/jobs/view/renewals-territory-account-manager-russian-speaker-at-check-point-software-4205892020?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-06-15"
"Waterfall Security Solutions","Cybersecurity","m","Sales Associate","Representative","ראש העין","https://www.comeet.com/jobs/waterfall-security/C7.009/sales-associate/6E.55D?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-06-14"
"ActiveFence","Cybersecurity","l","Web Intelligence Analyst, GTM","Representative","בנימינה גבעת עדה","https://www.comeet.com/jobs/activefence/D5.005/web-intelligence-analyst-gtm/84.753?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-06-14"
"Atera Networks","Productivity","l","Finance Business Applications Analyst","Representative","תל אביב-יפו","https://www.comeet.com/jobs/atera/63.00B/finance-business-applications-analyst/00.65F?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-06-14"
"Cato Networks","Cybersecurity","l","Sales Development Representative - Team Leader","Manager","בני ברק","https://il.linkedin.com/jobs/view/sales-development-representative-team-leader-at-cato-networks-4204944515?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-06-14"
"Google","Digital Media","xl","BI Sales Specialist, Google Cloud (English, Hebrew)","Representative","תל אביב-יפו","https://il.linkedin.com/jobs/view/bi-sales-specialist-google-cloud-english-hebrew-at-google-4233931216?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-06-14"
