"company","category","size","title","level","city","url","updated"
"NextSilicon","Semiconductors","l","Senior HPC Application Engineer","Engineer","גבעתיים","https://www.comeet.com/jobs/nextsilicon/18.007/senior-hpc-application-engineer/BD.C45?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-06-15"
"H2Pro","Sustainable Technology","m","R&D leadership","Manager","קיסריה","https://www.comeet.com/jobs/h2pro/A7.001/rd-leadership/73.F4C?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-06-15"
"mPrest","IoT","m","Senior Web Developer","Engineer","פתח תקווה","https://www.comeet.com/jobs/mprest/38.005/senior-web-developer/D2.65A?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-06-15"
"Trigo","Robotics & Automation","l","Backend Team Lead","Manager","תל אביב-יפו","https://www.comeet.com/jobs/trigo/A6.005/backend-team-lead/77.550?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-06-15"
"Waterfall Security Solutions","Cybersecurity","m","System Engineer","Engineer","ראש העין","https://www.comeet.com/jobs/waterfall-security/C7.009/system-engineer/C0.C28?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-06-15"
"mPrest","IoT","m","Software Architect","Architect","פתח תקווה","https://www.comeet.com/jobs/mprest/38.005/software-architect/C0.859?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-06-15"
"Trigo","Robotics & Automation","l","Senior Backend Engineer","Engineer","תל אביב-יפו","https://www.comeet.com/jobs/trigo/A6.005/senior-backend-engineer/39.12E?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-06-15"
"Trigo","Robotics & Automation","l","Senior Software Engineer","Engineer","תל אביב-יפו","https://www.comeet.com/jobs/trigo/A6.005/senior-software-engineer/91.050?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-06-15"
"Driivz","Automotive","m","Back End Developer","Engineer","הוד השרון","https://www.comeet.com/jobs/driivz/C4.00B/back-end-developer/99.C1C?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-06-15"
"Daisy","Fintech","m","Senior Full-Stack Developer","Engineer","תל אביב-יפו","https://www.comeet.com/jobs/daisy/67.002/senior-full-stack-developer/14.D41?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-06-15"
"Global-e","Productivity","l","Database Team Leader","Manager","פתח תקווה","https://www.comeet.com/jobs/global-e/62.002/database-team-leader/9E.158?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-06-15"
"Altair","AI/ML","xs","RF System Engineer","Engineer","יקנעם עילית","https://www.comeet.com/jobs/altair-semi/88.003/rf-system-engineer/AB.45D?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-06-15"
"Altair","AI/ML","xs","RFIC Engineer","Engineer","יקנעם עילית","https://www.comeet.com/jobs/altair-semi/88.003/rfic-engineer/6D.65A?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-06-15"
"Rise","Productivity","m","Professional Services Engineer","Engineer","רמת השרון","https://www.comeet.com/jobs/risecodes/A9.000/professional-services-engineer/9E.640?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-06-15"
"eToro","Fintech","l","Senior Architect, Experience Group","Architect","תל אביב-יפו","https://www.comeet.com/jobs/etoro/41.009/senior-architect-experience-group/A9.75B?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-06-15"
"DealHub","Productivity","l","DBA MS SQL","Engineer","חולון","https://www.comeet.com/jobs/dealhub/86.005/dba-ms-sql/00.942?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-06-15"
"DealHub","Productivity","l","Java Developer","Engineer","חולון","https://www.comeet.com/jobs/dealhub/86.005/java-developer/D2.A48?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-06-15"
"Agora","Fintech","m","Full Stack Developer","Engineer","תל אביב-יפו","https://www.comeet.com/jobs/agora/08.007/full-stack-developer/4C.54E?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2025-06-15"
